timestamp,date,time,time_period,location,price,last4ccnum,loyaltynum
6/1/2014 7:28,6/1/2014,7:28:00,6am to 8:59am,Brew've Been Served,11.34,4795,L8566
6/1/2014 7:34,6/1/2014,7:34:00,6am to 8:59am,Hallowed Grounds,52.22,7108,NA
6/1/2014 7:35,6/1/2014,7:35:00,6am to 8:59am,Brew've Been Served,8.33,6816,L8148
6/1/2014 7:36,6/1/2014,7:36:00,6am to 8:59am,Hallowed Grounds,16.72,9617,L5553
6/1/2014 7:37,6/1/2014,7:37:00,6am to 8:59am,Brew've Been Served,4.24,7384,L3800
6/1/2014 7:38,6/1/2014,7:38:00,6am to 8:59am,Brew've Been Served,4.17,5368,L2247
6/1/2014 7:42,6/1/2014,7:42:00,6am to 8:59am,Coffee Cameleon,28.73,7253,NA
6/1/2014 7:43,6/1/2014,7:43:00,6am to 8:59am,Brew've Been Served,9.6,4948,L9406
6/1/2014 7:43,6/1/2014,7:43:00,6am to 8:59am,Brew've Been Served,16.9,9683,L7291
6/1/2014 7:47,6/1/2014,7:47:00,6am to 8:59am,Hallowed Grounds,16.53,8129,L8328
6/1/2014 7:48,6/1/2014,7:48:00,6am to 8:59am,Hallowed Grounds,10.66,3492,L7814
6/1/2014 7:49,6/1/2014,7:49:00,6am to 8:59am,Coffee Cameleon,8.39,5921,L3295
6/1/2014 7:52,6/1/2014,7:52:00,6am to 8:59am,Brew've Been Served,32.83,9405,NA
6/1/2014 7:54,6/1/2014,7:54:00,6am to 8:59am,Hallowed Grounds,16.88,7889,NA
6/1/2014 7:54,6/1/2014,7:54:00,6am to 8:59am,Coffee Cameleon,11.86,2142,L9637
6/1/2014 7:54,6/1/2014,7:54:00,6am to 8:59am,Hallowed Grounds,32.93,2681,NA
6/1/2014 7:55,6/1/2014,7:55:00,6am to 8:59am,Hallowed Grounds,8.05,9551,L5777
6/1/2014 7:55,6/1/2014,7:55:00,6am to 8:59am,Brew've Been Served,3.67,3484,L2490
6/1/2014 7:59,6/1/2014,7:59:00,6am to 8:59am,Brew've Been Served,8.88,7819,L5259
6/1/2014 8:00,6/1/2014,8:00:00,6am to 8:59am,Brew've Been Served,4.27,5407,L4034
6/1/2014 8:00,6/1/2014,8:00:00,6am to 8:59am,Hallowed Grounds,9.69,6691,NA
6/1/2014 8:01,6/1/2014,8:01:00,6am to 8:59am,Hallowed Grounds,10.07,1874,L4424
6/1/2014 8:06,6/1/2014,8:06:00,6am to 8:59am,Brew've Been Served,18.24,3853,L1485
6/1/2014 8:06,6/1/2014,8:06:00,6am to 8:59am,Brew've Been Served,15.58,4434,L2169
6/1/2014 8:07,6/1/2014,8:07:00,6am to 8:59am,Brew've Been Served,5.66,6901,L9363
6/1/2014 8:14,6/1/2014,8:14:00,6am to 8:59am,Coffee Cameleon,3.2,2418,NA
6/1/2014 8:16,6/1/2014,8:16:00,6am to 8:59am,Brew've Been Served,14.97,1286,L3572
6/1/2014 8:16,6/1/2014,8:16:00,6am to 8:59am,Brew've Been Served,11.2,8411,L6110
6/1/2014 8:17,6/1/2014,8:17:00,6am to 8:59am,Brew've Been Served,15.39,8202,L2343
6/1/2014 8:23,6/1/2014,8:23:00,6am to 8:59am,Abila Airport,4540.08,9220,L4063
6/1/2014 9:06,6/1/2014,9:06:00,9am to 11:59am,Kronos Pipe & Irrigation,242.21,9220,L4063
6/1/2014 10:02,6/1/2014,10:02:00,9am to 11:59am,Nationwide Refinery,761.64,9735,L9633
